time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.024;1.7763568394002505e-15;2.5734878146025597e-14;6.176370755046146e-16;4.0;38.8;-5.28;0;0;0
0.025;1.7763568394002505e-15;2.5734878146025597e-14;6.433719536506403e-16;4.0;38.8;-5.28;0;0;0
0.026;1.7763568394002505e-15;2.5734878146025597e-14;6.691068317966659e-16;4.0;38.8;-5.28;0;0;0
0.027;1.7763568394002505e-15;2.5734878146025597e-14;6.948417099426916e-16;4.0;38.8;-5.28;0;0;0
0.028;1.7763568394002505e-15;2.5734878146025597e-14;7.205765880887172e-16;4.0;38.8;-5.28;0;0;0
0.029;1.7763568394002505e-15;2.5734878146025597e-14;7.463114662347429e-16;4.0;38.8;-5.28;0;0;0
0.03;1.7763568394002505e-15;2.5734878146025597e-14;7.720463443807685e-16;4.0;38.8;-5.28;0;0;0
0.031;1.7763568394002505e-15;2.5734878146025597e-14;7.977812225267941e-16;4.0;38.8;-5.28;0;0;0
0.032;1.7763568394002505e-15;2.5734878146025597e-14;8.235161006728198e-16;4.0;38.8;-5.28;0;0;0
0.033;1.7763568394002505e-15;2.5734878146025597e-14;8.492509788188454e-16;4.0;38.8;-5.28;0;0;0
0.034;1.7763568394002505e-15;2.5734878146025597e-14;8.749858569648711e-16;4.0;38.8;-5.28;0;0;0
0.035;1.7763568394002505e-15;2.5734878146025597e-14;9.007207351108967e-16;4.0;38.8;-5.28;0;0;0
0.036;1.7763568394002505e-15;2.5734878146025597e-14;9.264556132569224e-16;4.0;38.8;-5.28;0;0;0
0.037;1.7763568394002505e-15;2.5734878146025597e-14;9.52190491402948e-16;4.0;38.8;-5.28;0;0;0
0.038;1.7763568394002505e-15;2.5734878146025597e-14;9.779253695489737e-16;4.0;38.8;-5.28;0;0;0
0.039;1.7763568394002505e-15;2.5734878146025597e-14;1.0036602476949993e-15;4.0;38.8;-5.28;0;0;0
0.04;1.7763568394002505e-15;2.5734878146025597e-14;1.029395125841025e-15;4.0;38.8;-5.28;0;0;0
0.041;1.7763568394002505e-15;2.5734878146025597e-14;1.0551300039870506e-15;4.0;38.8;-5.28;0;0;0
0.042;1.7763568394002505e-15;2.5734878146025597e-14;1.0808648821330762e-15;4.0;38.8;-5.28;0;0;0
0.043;1.7763568394002505e-15;2.5734878146025597e-14;1.1065997602791019e-15;4.0;38.8;-5.28;0;0;0
0.044;1.7763568394002505e-15;2.5734878146025597e-14;1.1323346384251275e-15;4.0;38.8;-5.28;0;0;0
0.045;1.7763568394002505e-15;2.5734878146025597e-14;1.1580695165711532e-15;4.0;38.8;-5.28;0;0;0
0.046;1.7763568394002505e-15;2.5734878146025597e-14;1.1838043947171788e-15;4.0;38.8;-5.28;0;0;0
0.047;1.7763568394002505e-15;2.5734878146025597e-14;1.2095392728632044e-15;4.0;38.8;-5.28;0;0;0
0.048;1.7763568394002505e-15;2.5734878146025597e-14;1.23527415100923e-15;4.0;38.8;-5.28;0;0;0
0.049;1.7763568394002505e-15;2.5734878146025597e-14;1.2610090291552557e-15;4.0;38.8;-5.28;0;0;0
0.05;1.7763568394002505e-15;2.5734878146025597e-14;1.2867439073012814e-15;4.0;38.8;-5.28;0;0;0
0.051;1.7763568394002505e-15;2.5734878146025597e-14;1.312478785447307e-15;4.0;38.8;-5.28;0;0;0
0.052;1.7763568394002505e-15;2.5734878146025597e-14;1.3382136635933327e-15;4.0;38.8;-5.28;0;0;0
0.053;1.7763568394002505e-15;2.5734878146025597e-14;1.3639485417393583e-15;4.0;38.8;-5.28;0;0;0
0.054;1.7763568394002505e-15;2.5734878146025597e-14;1.389683419885384e-15;4.0;38.8;-5.28;0;0;0
